City,Gym_URL,Address
istanbul,https://www.macfit.com/kulupler/istanbul/bakirkoy/macfit-bakirkoy-migros,"Yenimahalle, Yanık Ses Sok. No:2C, 34142 Bakırköy/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/bakirkoy/macone-flyinn,"Flyinn Alışveriş ve Yaşam Merkezi Şenlikköy Mah., Harman Sok. No:48, 34153 Bakırköy/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/basaksehir/macfit-bahcesehir-park,"Bahçeşehir 1. Kısım, Doğa Parkı Cd, 34488 Başakşehir/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/basaksehir/macfit-basaksehir,Prof. Dr. Necmettin Erbakan Cad. 2. Kısım A blok Başakşehir/İstanbul
istanbul,https://www.macfit.com/kulupler/istanbul/basaksehir/macfit-kayasehir,"Kayabaşı, Veysel Karani Cad., 34494 Başakşehir/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/basaksehir/macfit-mall-of-istanbul,"Ziya Gökalp, Süleyman Demirel Blv, 34490 İkitelli Osb/Başakşehir/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/besiktas/macone-akaretler,Sinanpaşa Mah. Şair Nedim Cad. No.20/A Beşiktaş/İstanbul
istanbul,https://www.macfit.com/kulupler/istanbul/besiktas/macone-akmerkez,Kültür Mah. Nispetiye Cad. No:56 Beşiktaş/İstanbul
istanbul,https://www.macfit.com/kulupler/istanbul/besiktas/macone-ortakoy-lotus,"Ulus, Lotus World No:6, Ambarlıdere Sok., 34347 Beşiktaş/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/besiktas/macone-zorlu,"Zorlu Center, Levazım Mah., Koru Sok. No:2, 34340 Beşiktaş/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/beykoz/macfit-anadolu-hisari,"Göztepe Mah. Migros AVM, Atatürk Cad., 34815 Beykoz/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/beylikduzu/macfit-beylikduzu-metrohome,"Kameroğlu Metrohome Suites – Residence – Cumhuriyet, Onur Sk., 34520 Beylikdüzü/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/beyoglu/macfit-istiklal-avm,"Hüseyinağa Mah. İstiklal Cd. No:52, 34435 Beyoğlu/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/buyukcekmece/macfit-mimaroba,"Ekinoba Mah. Mustafa Kemal Blv. Cornerlife No: 11M-38, 34535 Büyükçekmece/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/esenyurt/macfit-akbati,Akbatı AVM Sanayi Mah. 1655 Sok.No:6 Esenyurt/İstanbul
istanbul,https://www.macfit.com/kulupler/istanbul/esenyurt/macfit-city-center,Zafer Mah. Doğan Araslı Bul. CITY AVM No: 79/1 İç Kapı No: 54 34510 Esenyurt/ İstanbul
istanbul,https://www.macfit.com/kulupler/istanbul/esenyurt/macfit-esenyurt-rayana,"Cumhuriyet Mah. 1986. Sk. A2 Blok, İç Kapı No:18, 34515, Esenyurt/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/esenyurt/macfit-marmara-park,"Mevlana Mah., Çelebi Mehmet Cad. 33/A, 34515 Esenyurt/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/esenyurt/macfit-torium,Turgut Özal Mah. E-5 Üzeri Haramidere/Esenyurt/İstanbul
istanbul,https://www.macfit.com/kulupler/istanbul/eyup/macfit-axis-istanbul,Topçular Mah. Osman Gazi Cad. No:2 Bayrampaşa Metro İstasyonu Yanı Eyüp
istanbul,https://www.macfit.com/kulupler/istanbul/eyup/macfit-biz-cevahir,"Biz Cevahir Haliç AVM, Alibeyköy Mah., Vardar Blv. No:11 D:5, 34050
Eyüp/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/eyup/macfit-flatofis-halic,"Defterdar Mah., Otakçılar Cad. No:78, 34050 Eyüp/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/eyup/macone-gokturk,"Göktürk Merkez Mah., İstanbul Cad. No:30, 34077 Eyüp/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/eyup/macstudio-pilates-gokturk,"Göktürk Merkez, İstanbul Cd. No:42, 34077 Eyüpsultan/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/eyup/macfit-vialand,"Yeşilpınar, Şehit Metin Kaya Sk. 34065 Eyüpsultan/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/gaziosmanpasa/macfit-pashador,"Merkez Mah., Eski Edirne Asf. No:158, 34245 Gaziosmanpaşa/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/gungoren/macfit-kale-center,"Güven Mah., Eski Londra Asfaltı Cad. No:89, 34160 Güngören/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/gungoren/macfit-merter,"E-5 Yolu Merter Sapağı, 3M Migros Binası, 1. Kat, Merter/Güngören"
istanbul,https://www.macfit.com/kulupler/istanbul/kadikoy/macfit-acibadem-sur-yapi,"Acıbadem, Dost Ozan Sk. No:1, 34718 Kadıköy/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/kadikoy/macfit-cadde,"Bağdat Caddesi, Göztepe Mahallesi, Birgen İş Merkezi No:226 Kadıköy"
istanbul,https://www.macfit.com/kulupler/istanbul/kadikoy/macfit-ckm,"Caddebostan, Haldun Taner Sok. No:11, 34728 Kadıköy/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/kadikoy/macfit-goztepe-loft,"Göztepe Mah. Tütüncü Mehmet Efendi Cad. Göztepe Loft Plaza, Kat:2-3 Göztepe/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/kadikoy/macfit-goztepe-optimum,Göztepe/İstanbul
istanbul,https://www.macfit.com/kulupler/istanbul/kadikoy/macfit-kazasker,19 Mayıs Mah. Şemsettin Günaltay Cad. No:166/1 Kadıköy/İstanbul
istanbul,https://www.macfit.com/kulupler/istanbul/kadikoy/macone-kiziltoprak,"Ersoy İş Merkezi, Bağdat Cad. Feneryolu No:53 34724 Kadıköy/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/kadikoy/macfit-kozzy,"Kozzy AVM Kozyatağı Mah., Bayar Cad., Buket Sok. No:14, 34742 Kadıköy/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/kadikoy/goztepe-macstudio,"Tütüncü Mehmet Efendi Cad.
Karanfil Sokak No:13/1
Göztepe/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/kadikoy/macone-suadiye,"Suadiye Mah., Plaj Yolu Sok. No:18, 34740 Kadıköy/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/kagithane/macfit-axis-kagithane,"Merkez Mah. Cendere Cad. No:28, 34406 Kağıthane/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/kartal/macfit-istmarina,"Kordonboyu Mah., Ankara Cad. No:147, 34860 Kartal/İstanbul"
